Judul Pelatihan;Jumlah Hari Pelatihan;Jumlah Jam Pelatihan Per Hari;tanggal awal;tanggal akhir;Biaya Pelatihan  Online; Biaya Pelatihan  Offline ;Online;Offline;Lokasi Pelatihan;"Contac Person
";No Telepon/ HP;Alamat Email ;;
Cost Reduction & Risk Management;2 Hari;8 Jam;04-Jun-25;05-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Public Speaking For Leader;2 Hari;8 Jam;11-Feb-25;12-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Planning & Transformational Leadership Skill;2 Hari;8 Jam;11-Sep-25;12-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Negotiation Skill For Procrument;2 Hari;8 Jam;;;; IDR  5.700.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Leadership For Supervisor;2 Hari;8 Jam;17-Sep-25;18-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Planning & Transformational Leadership Skill;2 Hari;8 Jam;05-Dec-22;06-Dec-22;; IDR  5.700.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Procrument & Purchasing Management;2 Hari;8 Jam;21-Oct-25;22-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
;2 Hari;8 Jam;;;; IDR  5.700.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Performance Management;2 Hari;8 Jam;20-Aug-25;21-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Logistic Day Of Improvement;2 Hari;8 Jam;22-Jul-25;23-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
ISO 1400I;2 Hari;8 Jam;19-Aug-25;20-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Pengoperatian Boiler;2 Hari;8 Jam;15-Jun-25;16-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Big data &Cloud Computing;2 Hari;8 Jam;15-Jun-25;16-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Advance Electrical & Instrumentation;2 Hari;8 Jam;09-Sep-25;10-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Mechanical  Electrical plambing ( MEP );2 Hari;8 Jam;11-Jun-25;12-Jun-.25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Basic Pnewmatic;2 Hari;8 Jam;15-Jul-25;16-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Management Korosi;2 Hari;8 Jam;27-May-25;28-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Operation Management;2 Hari;8 Jam;15-Jul-25;16-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Pemeliharaan Trafo Pembangkit;2 Hari;8 Jam;27-May-25;28-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Supervisi Pekerjaan QA & QC Peralatan Mekanikal;2 Hari;8 Jam;20-May-25;21-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Comprehensive Job Analysis;2 Hari;8 Jam;11-Jun-25;12-Jun-.25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Conflict Manajemen;2 Hari;8 Jam;11-Mar-25;12-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Control Valve Operation & Sizing;2 Hari;8 Jam;12-Jun-25;13-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Job Design and Workload Analysis;2 Hari;8 Jam;10-Jul-25;11-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Administration Purchasing;2 Hari;8 Jam;22-Jul-25;23-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Manajemen Operasi dan Pemeliharaan Pembangkit;2 Hari;8 Jam;22-May-25;23-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Mean Time Between Failures ( MTBF );2 Hari;8 Jam;08-Jul-25;09-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Office Management;2 Hari;8 Jam;19-Feb-25;20-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Tata Kelola Pembangkit;2 Hari;8 Jam;10-Jun-25;11-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Project Risk Management;2 Hari;8 Jam;14-Aug-25;15-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Shopfloor Leadership;2 Hari;8 Jam;09-Sep-25;09-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Leadership Fore Manager;2 Hari;8 Jam;09-Jul-25;10-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Supply Chain Management;2 Hari;8 Jam;07-Agt-25;08-Agt-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Training Need Analysis;2 Hari;8 Jam;08-Jul-25;09-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
ISO 31000;2 Hari;8 Jam;19-Aug-25;20-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Leadership Skill For Top Management;2 Hari;8 Jam;21-Oct-2025;22-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Service Exelence;2 Hari;8 Jam;22-Jan-25;23-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Professional Leadership;2 Hari;8 Jam;20-Nov-25;21-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Mastering Excel Beyond For Office Data Processing System;2 Hari;8 Jam;17-Sep-25;18-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Community Based Security Management;2 Hari;8 Jam;25-Jun-25;26-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Office Management & Administration;2 Hari;8 Jam;20-Agt-25;21-Agt-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Metal ARC Welding;2 Hari;8 Jam;09-Sep-25;10-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Oil Analysiz & Tribology;2 Hari;8 Jam;19-Jun-25;20-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Welding Metalurgy;2 Hari;8 Jam;11-Sep-25;12-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Problem Solving and Decision Making;2 Hari;8 Jam;25-Sep-25;26-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Public Speaking And Presentation Skil;2 Hari;8 Jam;11-Nov-25;12-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Analythical Thinking & Problem Solving;2 Hari;8 Jam;21-Oct-25;22-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Planning & Controlling Operation;2 Hari;8 Jam;06-Oct-25;07-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Handling Complaint & Difficul Custamer;2 Hari;8 Jam;12-Nov-25;13-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Essential Skill For Secretaris;2 Hari;8 Jam;10-Jun-25;11-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Basic Secretarial Skill;2 Hari;8 Jam;25-Nov-25;26-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Chemical Spill Response Procedure;2 Hari;8 Jam;14-Oct-25;15-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Chemical Enginering Fundamental Non Enginer;2 Hari;8 Jam;27-Nov-25;28-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
 Bahan bahan Kimia Berbahaya di Industri;2 Hari;8 Jam;08-Oct-25;09-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Legal Drafting & Writing;2 Hari;8 Jam;19-Nov-25;20-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Production Planning and Inventory Control;2 Hari;8 Jam;12-Aug-25;13-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Manufacturing Planning Control;2 Hari;8 Jam;14-Oct-25;15-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Custamer Relationship Management;2 Hari;8 Jam;15-Jul-25;16-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Customer Service Skill;2 Hari;8 Jam;13-Aug-25;14-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Program Masa Persiapan Pensiun (MPP);2 Hari;8 Jam;16-Jul-25;17-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Powerless Leadership For Manager;2 Hari;8 Jam;11-Sep-24;12-Oct-23; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Negotiation Skill For Procrument;2 Hari;8 Jam;11-Feb-25;12-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Advance Writting Policy And Procedure ( SOP ) ;2 Hari;8 Jam;26-Jun-25;27-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Accident Investigation;2 Hari;8 Jam;23-Jul-25;24-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Risk Based Process Safety Management;2 Hari;8 Jam;13-Aug-25;14-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Risk & Control Self Assessment;2 Hari;8 Jam;06-May-25;07-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Planning & Transformational Leadership Skill;2 Hari;8 Jam;07-May-25;08-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Practical Lean Problem Solving;2 Hari;8 Jam;04-Jun-25;05-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Dissolved Gas Analysis;2 Hari;8 Jam;27-May-25;28-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Roller Bearing & Lubrication Analysys;2 Hari;8 Jam;22-Jun-25;23-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Management Overhaul;3 Hari;9 Jam;28-Jun-24;29-Jun-24; IDR  4.000.001 ; IDR  6.000.001 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Internal Auditor IATF;2 Hari;10 Jam;25-Jun-25;26-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Microsoft Excel For Basic;2 Hari;8 Jam;27-Jan-25;28-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Microsoft Excel For Advance & Professional;2 Hari;8 Jam;15-Apr-25;16-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Corporate Social Responsibility;2 Hari;8 Jam;14-Apr-25;15-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Communication Management & Managerial Skill;2 Hari;8 Jam;18-Jun-25;19-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Train & Trainer;2 Hari;8 Jam;10-Jul-25;11-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Customer Service Oriantation;2 Hari;8 Jam;22-Jul-25;23-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Marketing Management;2 Hari;8 Jam;27-Jan-25;28-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Material Safety Data Sheet ( MSDS );2 Hari;8 Jam;10-Feb-25;11-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Advanced Wastewater Treatmnet Plant;2 Hari;8 Jam;12-Feb-25;13-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Good Corporate Governance (GCG) Implementation;2 Hari;8 Jam;18-Feb-25;19-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Ware House Management;2 Hari;8 Jam;05-Mar-25;06-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Engine Lubrication System;2 Hari;8 Jam;04-Mar-25;05-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Managing Quality Control & Quality Assurance;2 Hari;8 Jam;21-Oct-25;22-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Creative Reporting Using Excel,Word & Power Point;2 Hari;8 Jam;14-Apr-25;15-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Logic & Digital Control System;2 Hari;8 Jam;07-Mar-25;08-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Audit Sistem Informasi Berbasis COBIT;2 Hari;8 Jam;21-Mar-25;22-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Corrosion Enginering For Non Enginer;2 Hari;8 Jam;26-Feb-25;27-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Total Productive Maintenance;2 Hari;8 Jam;11-Feb-25;12-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Lean Production System;2 Hari;8 Jam;18-Feb-25;19-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Ware House Barcode Management;2 Hari;8 Jam;21-Jan-25;22-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Project Procrument Management;2 Hari;8 Jam;15-Jan-25;16-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Warehouse And Inventory Management;2 Hari;8 Jam;29-Jan-25;30-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategi Implementasi Project Management Office (PMO);2 Hari;8 Jam;22-Jan-25;23-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Tender Management;2 Hari;8 Jam;05-May-25;06-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Procurement Management In Project;2 Hari;8 Jam;13-May-25;14-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Project Cost Management;2 Hari;8 Jam;20-May-25;21-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Finance For Non Finance;2 Hari;8 Jam;12-May-25;13-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Total Quality Management;2 Hari;8 Jam;24-Apr-25;25-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Basic Inteligence For Security;2 Hari;8 Jam;22-Apr-25;23-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Custamer Excelence For Security;2 Hari;8 Jam;16-Apr-25;17-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Anti Fraund Awareness;2 Hari;8 Jam;08-Jul-25;09-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
FMEA & RCFA;2 Hari;8 Jam;15-May-25;16-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Mengadapi Masa Pensiun;2 Hari;8 Jam;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Base Recruitment & Selection;2 Hari;8 Jam;28-Apr-25;29-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Cash Flow & Treasury Managemen;2 Hari;8 Jam;25-Aug-25;26-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Building Management And Maintenance;2 Hari;8 Jam;25-Aug-25;26-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Modern Office Management & Filling System;2 Hari;8 Jam;25-Aug-25;26-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Life Cycle Asseement;2 Hari;8 Jam;23-Jan-25;24-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
ISO 9001:2015;2 Hari;8 Jam;10-Feb-25;11-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
