Judul Pelatihan,Topik,Hari Pelatihan,Jam Pelatihan Per Hari,Tanggal Awal,Tanggal Akhir,Biaya Online,Biaya Offline,Online,Offline,Lokasi Pelatihan,Contact Person,No Telepon/HP,Alamat Email
5S In Manufacturing: Pondasi Dasar menuju World Class Manufacturing,Manufacturing & Logistics,2 Hari,8 Jam,08-Jul-25,09-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Best Pratice Manufacturing Management,Manufacturing & Logistics,2 Hari,8 Jam,10-Sep-25,11-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Comprehensive Problem Solving for Manufacturing,Manufacturing & Logistics,2 Hari,8 Jam,08-Jul-25,09-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lean Management In Manufacturing,Manufacturing & Logistics,2 Hari,8 Jam,12-Jun-25,13-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lean Manufacturing System,Manufacturing & Logistics,2 Hari,8 Jam,28-May-25,29-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coatings and Paint Technology,Manufacturing & Logistics,2 Hari,8 Jam,23-Jul-25,24-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Developing Manufacturing Performance Indicator,Manufacturing & Logistics,2 Hari,8 Jam,06-May-25,07-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lean Six Sigma,Manufacturing & Logistics,2 Hari,8 Jam,22-Jan-25,23-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lean Production for Operation Excellence,Manufacturing & Logistics,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Manufacturing Planning &Control,Manufacturing & Logistics,2 Hari,8 Jam,05-Feb-25,06-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Practical Lean Problem Solving,Manufacturing & Logistics,2 Hari,8 Jam,07-Mar-25,08-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Time & Motion Study For Lean Manufacturing,Manufacturing & Logistics,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Workload Analysis di Manufacturing (Manhourunit),Manufacturing & Logistics,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Pengadaan Barang & Jasa,Manufacturing & Logistics,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Dissolved Gas Analysis,Manufacturing & Logistics,2 Hari,8 Jam,04-Nov-25,05-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Warehouse Operation & Management,Manufacturing & Logistics,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Stock Control & Inventory Planning,Manufacturing & Logistics,2 Hari,8 Jam,07-May-25,08-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Operational Planning in Supply Chain Management,Manufacturing & Logistics,2 Hari,8 Jam,13-May-25,14-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Purchasing and Procurement,Manufacturing & Logistics,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Proyek,Manufacturing & Logistics,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Logistic & Warehouse Management,Manufacturing & Logistics,2 Hari,8 Jam,26-Feb-25,27-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Inventory Management & Control,Manufacturing & Logistics,2 Hari,8 Jam,04-Jun-25,05-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Inventory Management & Warehousing,Manufacturing & Logistics,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Practical Lean Problem Solving,Manufacturing & Logistics,2 Hari,8 Jam,17-Sep-25,18-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
e-Procurement: Aplikasi dan Implementasi,Manufacturing & Logistics,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Best Practise Vendor Managenet,Manufacturing & Logistics,2 Hari,8 Jam,17-Sep-25,18-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Purchasing Exellence Administration,Manufacturing & Logistics,2 Hari,8 Jam,21-Oct-25,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategic Vendor Management,Manufacturing & Logistics,2 Hari,8 Jam,21-Oct-25,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Best Practise SparePart Management,Manufacturing & Logistics,2 Hari,8 Jam,20-Aug-25,21-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Performance Management,Manufacturing & Logistics,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Procrument Negotiation & Contracting Strategi,Manufacturing & Logistics,2 Hari,8 Jam,20-Aug-25,21-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management 5S / 5R,Manufacturing & Logistics,2 Hari,8 Jam,11-Jun-25,12-Jun-.25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Poka Yoke,Manufacturing & Logistics,2 Hari,8 Jam,15-Jun-25,16-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Laporan Logistic,Manufacturing & Logistics,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Logistic Day Of Improvement,Manufacturing & Logistics,2 Hari,8 Jam,19-Aug-25,20-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Logistic Management,Manufacturing & Logistics,2 Hari,8 Jam,15-Jun-25,16-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
ISO 1400I,Manufacturing & Logistics,2 Hari,8 Jam,15-Jun-25,16-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Ware House Barcode Management,Manufacturing & Logistics,2 Hari,8 Jam,15-Jun-25,16-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Procrument Management,Manufacturing & Logistics,2 Hari,8 Jam,09-Sep-25,10-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Warehouse And Inventory Management,Manufacturing & Logistics,2 Hari,8 Jam,11-Jun-25,12-Jun-.25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategi Implementasi Project Management Office (PMO),Manufacturing & Logistics,2 Hari,8 Jam,15-Jul-25,16-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Recuitment & Selection,Manufacturing & Logistics,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Job Analysis & Job Evaluation,Manufacturing & Logistics,2 Hari,8 Jam,15-Jul-25,16-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Coaching & Couseling Skill,Manufacturing & Logistics,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Succesful Management Of Training,Manufacturing & Logistics,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Managing Operating For Performance Improvement,Manufacturing & Logistics,2 Hari,8 Jam,11-Jun-25,12-Jun-.25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Manufacturing Productivity Improvement,Manufacturing & Logistics,2 Hari,8 Jam,11-Mar-25,12-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Excelence For Security,Manufacturing & Logistics,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Exelence For Security,Manufacturing & Logistics,2 Hari,8 Jam,11-Mar-25,12-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Operation & Production Management,Manufacturing & Logistics,2 Hari,8 Jam,12-Jun-25,13-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategic Tender Management,Manufacturing & Logistics,2 Hari,8 Jam,10-Jul-25,11-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Procurement Management In Project,Manufacturing & Logistics,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Diversity,Equity, & Inclusion ( DEI )",Manufacturing & Logistics,2 Hari,8 Jam,22-May-25,23-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Quality Assurance,Manufacturing & Logistics,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Logistic SCM,Manufacturing & Logistics,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Product Development With APQP & PPAP,Manufacturing & Logistics,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Product Quality Planning ( APQP ),Manufacturing & Logistics,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Office Management,Manufacturing & Logistics,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Manufacturing Planning Control,Manufacturing & Logistics,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lean Production System,Manufacturing & Logistics,2 Hari,8 Jam,14-Aug-25,15-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Office Management & Administration,Manufacturing & Logistics,2 Hari,8 Jam,10-Jun-25,11-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Risk Management,Managerial & Soft Skill,2 Hari,8 Jam,09-Sep-25,10-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advanced Leadership Di Era Vuca,Managerial & Soft Skill,2 Hari,8 Jam,09-Sep-25,10-Sep-25,IDR 4.000.000,IDR 4.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Teknik Penyusunan Standard Operating Procedure,Managerial & Soft Skill,2 Hari,8 Jam,19-Aug-25,20-Aug-25,IDR 4.000.000,IDR 4.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Performance Appraisal & Management,Managerial & Soft Skill,2 Hari,8 Jam,08-Jul-25,09=-07-2025,IDR 4.000.000,IDR 4.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Personal Development Attitude Excellent For High Performance,Managerial & Soft Skill,2 Hari,8 Jam,07-Agt-25,08-Agt-25,IDR 4.000.000,IDR 4.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Shopfloor Leadership,Managerial & Soft Skill,2 Hari,8 Jam,09-Jul-25,10-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Leadership Fore Manager,Managerial & Soft Skill,2 Hari,8 Jam,07-Agt-25,08-Agt-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Communication Skills for Supervisors,Managerial & Soft Skill,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electronic Document Management System (EDMS),Managerial & Soft Skill,2 Hari,8 Jam,19-Aug-25,20-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
HR Management Development Program,Managerial & Soft Skill,2 Hari,8 Jam,21-Oct-2025,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pubblic Speaking For Leader,Managerial & Soft Skill,2 Hari,8 Jam,19-Aug-25,20-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
KPI For Employee Performance Management,Managerial & Soft Skill,2 Hari,8 Jam,21-Oct-2025,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Base Recruitment & Selection,Managerial & Soft Skill,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Building Leadership,Managerial & Soft Skill,2 Hari,8 Jam,21-Oct-2025,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Public Speaking and Master Of Ceremony,Managerial & Soft Skill,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Good Corporate Governance (GCG) Implementation,Managerial & Soft Skill,2 Hari,8 Jam,08-Jul-25,08-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Writing Effective Reports,Managerial & Soft Skill,2 Hari,8 Jam,21-Oct-2025,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Project Management,Managerial & Soft Skill,2 Hari,8 Jam,19-Aug-25,20-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategic Planning & Transformational Leadership Skill,Managerial & Soft Skill,2 Hari,8 Jam,07-Aug-25,08-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Assertive Communication Skill,Managerial & Soft Skill,2 Hari,8 Jam,21-Oct-25,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Efisiensi,Managerial & Soft Skill,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Communication Skills for Supervisors,Managerial & Soft Skill,2 Hari,8 Jam,27-Jan-25,28-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Conflict Management Skills for Managers and Leaders,Managerial & Soft Skill,2 Hari,8 Jam,15-Sep-25,16-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Contract Administration,Managerial & Soft Skill,2 Hari,8 Jam,21-Aug-25,22-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Contract Management And Legal Aspek,Managerial & Soft Skill,2 Hari,8 Jam,04-Aug-25,05-Apr-02,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Report Writing Skill,Managerial & Soft Skill,2 Hari,8 Jam,14-Jul-25,15-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Training Within Industry,Managerial & Soft Skill,2 Hari,8 Jam,08-Jul-25,09-Jul-07,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Vendor & Procrument Management,Managerial & Soft Skill,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Total Quality Control,Managerial & Soft Skill,2 Hari,8 Jam,24-Jun-25,25-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Negotiation Skill For Procrument,Managerial & Soft Skill,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coaching Continuous Inprovement,Managerial & Soft Skill,2 Hari,8 Jam,12-Nov-25,13-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Leadership For Supervisor,Managerial & Soft Skill,2 Hari,8 Jam,25-Nov-25,26-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Writting Policy And Procedure ( SOP ) ,Managerial & Soft Skill,2 Hari,8 Jam,27-Jan-25,28-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Transportasi & Distribusi,Managerial & Soft Skill,2 Hari,8 Jam,20-Nov-25,21-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
PPAP & FMEA,Managerial & Soft Skill,2 Hari,8 Jam,17-Sep-25,18-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Negotiation In Procrument,Managerial & Soft Skill,2 Hari,8 Jam,25-Jun-25,26-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Operation Management,Managerial & Soft Skill,2 Hari,8 Jam,20-Agt-25,21-Agt-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Shop Floor Leadership,Managerial & Soft Skill,2 Hari,8 Jam,09-Sep-25,10-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Achievement Motivation,Managerial & Soft Skill,2 Hari,8 Jam,19-Jun-25,20-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Quality Control Of Trainer,Managerial & Soft Skill,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Document Control & Filling System,Managerial & Soft Skill,2 Hari,8 Jam,25-Sep-25,26-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Problem Solving and Decision Making,Managerial & Soft Skill,2 Hari,8 Jam,11-Nov-25,12-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Public Speaking And Presentation Skil,Managerial & Soft Skill,2 Hari,8 Jam,21-Oct-25,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Analythical Thinking & Problem Solving,Managerial & Soft Skill,2 Hari,8 Jam,06-Oct-25,07-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Handling Complaint & Difficul Customer,Managerial & Soft Skill,2 Hari,8 Jam,12-Nov-25,13-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Powerless Leadership For Manager,Managerial & Soft Skill,2 Hari,8 Jam,10-Jun-25,11-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
